;CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID;LAT;LON;Zonas;TIPO
70;24486258;CONTABILIDADE FARIAS OLIVEIRA;6920601;VISCONDE DE MAUA ,2600 - MEIRELES ,FORTALEZA - CE;6053;-3.7319408;-38.498056;Zona_290;contabilidade contabil assessoria
71;7821924;APRESF;9430800;MARCONDES PEREIRA ,1460 - DIONISIO TORRES ,FORTALEZA - CE;8477;-3.75058275;-38.50385014189256;Zona_220;instituto associacao escolar
72;5133406;COEGEMAS;9430800;MARIA TOMASIA ,230 - ALDEOTA ,FORTALEZA - CE;8553;-3.7349445;-38.4999557;Zona_290;instituto associacao escolar
73;8923126;EMPORIO DEL QUARTIERE;1091102;JAIME PINHEIRO ,177 - PATRIOLINO RIBEIRO ,FORTALEZA - CE;14221;-3.7599666;-38.4880365;Zona_238;panificadora pao confeitaria
74;7849733;CEICA ESTETICA;9602502;INSTITUTO DO CEARA ,188 - BENFICA ,FORTALEZA - CE;15242;-3.7385648;-38.53625615281162;Zona_285;estetica clinica studio
75;17134402;TEMPERO D REGIA;5611201;JOAO REGINO ,820 - PARQUE MANIBURA ,FORTALEZA - CE;1922;-3.7947198;-38.4827618928282;Zona_100;restaurante pizzaria pizza
76;18660420;IPU MOTOS;4541206;H ,1006 - CONJUNTO CEARA ,FORTALEZA - CE;16510;-3.772155;-38.6189027;;motos moto pecas
77;11969455;TRIUNFO OTICA;4774100;BEZERRA DE MENEZES ,2450 - SAO GERARDO ,FORTALEZA - CE;11218;-3.73493465;-38.5659868071884;Zona_196;otica optica oticas
78;7402604;W10 PRODUCOES;8230001;GENERAL EURICO ,62 - VARJOTA ,FORTALEZA - CE;13129;-3.7388525;-38.48738821545872;Zona_202;eventos producoes servicos
79;4949758;TMR PARTICIPACOES E ENGENHARIA LTDA;4120400;MARCOS MACEDO ,1333 - ALDEOTA ,FORTALEZA - CE;3129;-3.736444;-38.4905576;Zona_68;construcoes engenharia construtora
