CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID
31005841;ELO - ENDERECO FISCAL E OFFICE;8211300;SENADOR POMPEU ,2272 - JOSE BONIFACIO ,FORTALEZA - CE;94
31163776;FERNANDA PALHANO SOLUCOES CORPORATIVAS;8211300;DAS VIOLETAS ,183 - CIDADE 2000 ,FORTALEZA - CE;95
31362788;SERVICOS JC CONTABIL;8211300;HONORINA MAIA ,600 - PARQUE SANTA MARIA ,FORTALEZA - CE;96
31435863;ALIANCA FORTALEZA EMPREENDIMENTOS;8211300;QUARTO ANEL VIARIO ,2700 - PEDRAS ,FORTALEZA - CE;97
31601769;M V CAMINHA;8211300;JOSE VILAR ,1707 - ALDEOTA ,FORTALEZA - CE;98
31625560;GUILHERME LIMA ASSIS;8211300;BEIRA MAR ,3666 - MUCURIPE ,FORTALEZA - CE;99
31716460;MOOVCAR LOCACAO DE VEICULOS;8211300;BARBARA DE ALENCAR ,765 - CENTRO ,FORTALEZA - CE;100
31734284;J. CAVALCANTE;8211300;DESEMBARGADOR MOREIRA ,1300 - ALDEOTA ,FORTALEZA - CE;101
32008611;AR CERTIFORTAL;8211300;PEREIRA FILGUEIRAS ,1310 - ALDEOTA ,FORTALEZA - CE;102
29979667;LAGO EMPRESARIAL;8211300;DESEMBARGADOR JOSE GIL DE CARVALHO ,162 - CAMBEBA ,FORTALEZA - CE;103
32111301;SPINLAV LAVANDERIAS;8211300;TIBURCIO CAVALCANTE ,255 - MEIRELES ,FORTALEZA - CE;104
32128208;MYL SOLUTIONS;8211300;DOM LUIS ,880 - ALDEOTA ,FORTALEZA - CE;105
32214763;GEOLSD;8211300;DO HELICOPTERO ,20 - VILA UNIAO ,FORTALEZA - CE;106
32266006;BPO SOLUTION;8211300;VICENTE LINHARES ,500 - ALDEOTA ,FORTALEZA - CE;107
33414115;SOLAR;8211300;DOUTOR SILAS MUNGUBA ,858 - PARANGABA ,FORTALEZA - CE;108
33499346;GO! OFFICES COWORKING;8211300;BARAO DE STUDART ,1165 - ALDEOTA ,FORTALEZA - CE;109
33594050;FOCUS SERVICOS DE APOIO ADMINISTRATIVO;8211300;WASHINGTON SOARES ,55 - EDSON QUEIROZ ,FORTALEZA - CE;110
33664565;L R A SERVICOS DE TECNOLOGIA;8211300;BARAO DO RIO BRANCO ,1071 - CENTRO ,FORTALEZA - CE;111
