CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID
13765922;SV CAMINHOES;4520001;GENEROSO FRANCA ,SN - PEDRAS ,FORTALEZA - CE;10051
17709258;CF TURBO;4520001;DR GOV. RAUL BARBOSA ,6616 - AEROLANDIA ,FORTALEZA - CE;10053
23514454;MCAR AUTOCENTER;4520001;TULIPAS NEGRAS ,1283 - PARQUE SANTA ROSA ,FORTALEZA - CE;10059
24331311;JE CAR SERVICE;4520001;GIOVANI BATISTA MONTINI ,SN - PARQUE DOIS IRMAOS ,FORTALEZA - CE;10062
23522920;CICERO CAR;4520001;MARIA AMALIA ,1639 - PASSARE ,FORTALEZA - CE;10064
49293237;MEC AUTO;4520001;CARNEIRO DE MENDONCA - DE 872 A 1550 - LADO PAR ,959 - DEMOCRITO ROCHA ,FORTALEZA - CE;10095
35087386;ANA PAULA CABELEREIRA UNISEX;9602501;CRISANTO MOREIRA DA ROCHA ,251 - CIDADE  FUNCIONARIOS ,FORTALEZA - CE;10109
6290871;PLANET CAFE;9602501;DOS EXPEDICIONARIOS ,7919 - ITAPERY ,FORTALEZA - CE;10114
15753150;ESSENCE REGINA STUDIO;9602501;OLAVO LIMA SILVA ,181 - GUARARAPES ,FORTALEZA - CE;10125
25240277;LISBOA CAFE E BARBEARIA;9602501;GENERAL OSORIO DE PAIVA - DE 1661 A 3109 - LADO IM ,2951 - VILA PERI ,FORTALEZA - CE;10135
29265053;CENTRO ESTETICO MASCULINO;9602501;DOM MANUEL ,445 - CENTRO ,FORTALEZA - CE;10148
32020201;JESSICA MORAIS CABELO E MAQUIAGEM;9602501;B (LOT PARQUE MONTENEGRO II) ,921 - PREFEITO JOSE WALTER ,FORTALEZA - CE;10155
37664339;CIA DA BELEZA;9602501;FRANCISCO GLICERIO ,327 - JARDIM CEARENSE ,FORTALEZA - CE;10165
44731993;BRAVOS BARBEARIA CLUB;9602501;ADELAIDE DUTRA ,105 - MONDUBIM ,FORTALEZA - CE;10173
8260745;SPECCHIO STUDIO DE BELEZA;9602501;PACATA ,269 - CASTELAO ,FORTALEZA - CE;10196
18400987;BELEZA & ARTE, CORPO E CABELOS;9602501;ROSINHA SAMPAIO ,1811 - QUINTINO CUNHA ,FORTALEZA - CE;10210
22882086;DIVAS CABELEREIROS;9602501;DOM JOAQUIM ,86 - CENTRO ,FORTALEZA - CE;10223
22796001;STUDIO LANY;9602501;CARLOS RIBEIRO ,442 - FATIMA ,FORTALEZA - CE;10225
