CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID;LAT;LON
32964291;HOLY CORRETORA;6622300;DAS AROEIRAS ,882 - PASSARE ,FORTALEZA - CE;14031;-3.8106673;-38.5391764
28167561;MCP PAR;6462000;DOM LUIS ,300 - ALDEOTA ,FORTALEZA - CE;11086;-3.7333012;-38.49881245674792
13767423;GSF ENGENHARIA;4120400;ANDRADE FURTADO ,1245 - COCO ,FORTALEZA - CE;3163;-3.7427964;-38.4889153
14124583;EDU OTICA;4774100;CONTORNO SUL ,205 - CONJUNTO ESPERANCA ,FORTALEZA - CE;11294;-3.8147057;-38.5915845
28177183;ESA ENGENHARIA;7112000;J ,286 - PRESIDENTE KENNEDY ,FORTALEZA - CE;6833;-3.7332169;-38.5700154
39860288;REI DO FRANGO;4712100;CONEGO DE CASTRO ,4500 - PARQUE SAO JOSE ,FORTALEZA - CE;3458;-3.798284;-38.5857179
15396026;BEBA AGUA;8211300;TENENTE JOSE NEWTON ,532 - MESSEJANA ,FORTALEZA - CE;688;-3.8270402;-38.4921759
36124866;INSTITUTO EDUCACIONAL DESCOBRINDO PARA VIDA;8513900;RIO GRANDE DO NORTE ,1050 - DEMOCRITO ROCHA ,FORTALEZA - CE;16642;-3.75878835;-38.56693216168206
10516937;ADVISOR CONSULTORIA EMPRESARIAL LTDA;7020400;DOM LUIS ,1233 - MEIRELES ,FORTALEZA - CE;6680;-3.7354692;-38.489782
8583512;ROSA CHOQUE;1412601;ESPERANTO ,1507 - VILA UNIAO ,FORTALEZA - CE;4013;-3.76751245;-38.54022042526044
4991701;COMUNIDADE CRISTA SILOE;9491000;MANOEL MONTEIRO ,770 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;10444;-3.79355105;-38.49450471361016
46339226;QUEEN CLINICAL CENTER;8630504;PROFESSOR GOMES DE MATOS ,671 - PARREAO ,FORTALEZA - CE;7638;-3.7593741;-38.54384250653732
44831074;SANT PIN CONSULTORIA FINANCEIRA E PROTECOES;6622300;DAS AROEIRAS ,200 - PASSARE ,FORTALEZA - CE;14042;-3.80523355;-38.53683272140373
2246648;FPA NEGOCIOS E CONSULTORIA;7020400;WASHINGTON SOARES ,3663 - EDSON QUEIROZ ,FORTALEZA - CE;6675;-3.7881744;-38.47970119529657
35051195;JEO BAR E PETISCARIA;5611201;ALVARO GARRIDO ,260 - BARRA DO CEARA ,FORTALEZA - CE;2277;-3.7126389;-38.581703
20917029;ACAI PARAENSE;5611203;EDUARDO GARCIA ,15 - ALDEOTA ,FORTALEZA - CE;4530;-3.7398053;-38.4940731
27260705;SAUD ODONTO;8630504;ENGENHEIRO LEAL LIMA VERDE ,215 - SAPIRANGA / COITE ,FORTALEZA - CE;7609;-3.7900574;-38.4759889
20758306;CIA DO TERNO;4781400;WASHINGTON SOARES ,85 - EDSON QUEIROZ ,FORTALEZA - CE;1324;-3.7554302;-38.48876588454546
53500423;NATURALSENSE ALDEOTA;5611203;MARIA TOMASIA ,1267 - ALDEOTA ,FORTALEZA - CE;5035;-3.7370451;-38.4917265
44586739;UP! FORNERIA;5611201;NORVINDA PIRES ,80 - ALDEOTA ,FORTALEZA - CE;2078;-3.7372476;-38.5013246
3687643;MANOEL MAIA REPRESENTACOES;4619200;FRANCISCO HOLANDA ,625 - DIONISIO TORRES ,FORTALEZA - CE;12828;-3.74837585;-38.50486253589881
